run,repetition,module,name,count,sumweights,mean,stddev,min,max
General-0-20200620-21:14:22-20653,0,exercise_7.Users[35].pppg$o[0].channel,throughput:stats,33684,,1260.3255174905,108.00370177459,440,2603.0766502371
General-0-20200620-21:14:22-20653,0,exercise_7.Users[36].pppg$o[0].channel,throughput:stats,30042,,1093.0842236155,161.83055167749,440,2715.218475832
General-0-20200620-21:14:22-20653,0,exercise_7.Users[37].pppg$o[0].channel,throughput:stats,33704,,1318.3653737697,100.50879991591,440,2421.8514846418
General-0-20200620-21:14:22-20653,0,exercise_7.Users[38].pppg$o[0].channel,throughput:stats,29286,,1159.7762982091,173.71801288665,440,2515.5888887089
General-0-20200620-21:14:22-20653,0,exercise_7.Users[39].pppg$o[0].channel,throughput:stats,32338,,1336.8201422822,130.4219522332,440,2443.6453217397
General-0-20200620-21:14:22-20653,0,exercise_7.Users[40].pppg$o[0].channel,throughput:stats,34038,,1345.9600467342,113.39351889668,440,2873.7374491501
General-0-20200620-21:14:22-20653,0,exercise_7.Users[41].pppg$o[0].channel,throughput:stats,29214,,1276.5062704016,164.79880933911,440,2420.0042124715
General-0-20200620-21:14:22-20653,0,exercise_7.Users[42].pppg$o[0].channel,throughput:stats,35307,,1292.8559247749,105.73652050376,440,2419.5428346608
General-0-20200620-21:14:22-20653,0,exercise_7.Users[43].pppg$o[0].channel,throughput:stats,31267,,1194.7320302935,103.75363800501,440,2419.0816327415
General-0-20200620-21:14:22-20653,0,exercise_7.Users[44].pppg$o[0].channel,throughput:stats,30882,,1238.6510806509,144.03294172423,440,2418.6206066129
General-0-20200620-21:14:22-20653,0,exercise_7.Users[45].pppg$o[0].channel,throughput:stats,34466,,1305.1616080084,80.358440252746,440,2418.1597561747
General-0-20200620-21:14:22-20653,0,exercise_7.Users[46].pppg$o[0].channel,throughput:stats,32290,,1296.0359703165,242.35848059314,440,2487.0214438192
General-0-20200620-21:14:22-20653,0,exercise_7.Users[47].pppg$o[0].channel,throughput:stats,31586,,1223.5169929656,174.99206335486,440,2552.3098252085
General-0-20200620-21:14:22-20653,0,exercise_7.Users[48].pppg$o[0].channel,throughput:stats,28148,,1101.1084058953,72.427523007658,440,2416.778257998
General-0-20200620-21:14:22-20653,0,exercise_7.Users[49].pppg$o[0].channel,throughput:stats,31275,,1159.2173560259,107.24951823831,440,2416.3181093176
General-0-20200620-21:14:22-20653,0,exercise_7.Users[50].pppg$o[0].channel,throughput:stats,29494,,1183.3422217868,147.97829961265,440,2822.4208939523
General-0-20200620-21:14:22-20653,0,exercise_7.Users[51].pppg$o[0].channel,throughput:stats,34669,,1272.8431382015,212.38741987117,440,2863.7609723005
General-0-20200620-21:14:22-20653,0,exercise_7.Users[52].pppg$o[0].channel,throughput:stats,33002,,1183.6524850312,168.09441046149,440,2722.1606562088
General-0-20200620-21:14:22-20653,0,exercise_7.Users[53].pppg$o[0].channel,throughput:stats,30797,,1210.6876746243,120.59996046823,153.60343662839,2584.7696948812
General-0-20200620-21:14:22-20653,0,exercise_7.Users[54].pppg$o[0].channel,throughput:stats,30257,,1183.3715969769,119.12961981808,440,2683.2197960705
General-0-20200620-21:14:22-20653,0,exercise_7.Users[55].pppg$o[0].channel,throughput:stats,29853,,1211.0388884681,152.24297442459,440,2801.6238783055
General-0-20200620-21:14:22-20653,0,exercise_7.Users[56].pppg$o[0].channel,throughput:stats,31018,,1210.7204057034,106.14887149677,440,2424.5350441705
General-0-20200620-21:14:22-20653,0,exercise_7.Users[57].pppg$o[0].channel,throughput:stats,30560,,1075.0883666325,135.00050856278,440,2571.234259033
General-0-20200620-21:14:22-20653,0,exercise_7.Users[58].pppg$o[0].channel,throughput:stats,30574,,1138.2943961464,134.70535878015,357.50331795597,2509.9041280999
General-0-20200620-21:14:22-20653,0,exercise_7.Users[59].pppg$o[0].channel,throughput:stats,30200,,1229.6680294513,113.02369603286,440,2423.1462540606
General-0-20200620-21:14:22-20653,0,exercise_7.Users[60].pppg$o[0].channel,throughput:stats,31132,,1256.4365130967,296.36542035867,440,2780.7730197149
General-0-20200620-21:14:22-20653,0,exercise_7.Users[61].pppg$o[0].channel,throughput:stats,34685,,1307.130716224,188.20351485521,440,2781.3721770963
General-0-20200620-21:14:22-20653,0,exercise_7.Users[62].pppg$o[0].channel,throughput:stats,32669,,1256.5418681462,112.80816985944,440,2421.7590540567
General-0-20200620-21:14:22-20653,0,exercise_7.Users[63].pppg$o[0].channel,throughput:stats,30941,,1304.2281721482,192.88203306545,440,2728.8638759913
General-0-20200620-21:14:22-20653,0,exercise_7.Users[64].pppg$o[0].channel,throughput:stats,31203,,1257.4220187492,99.123428356864,134.77889221377,2420.8351360983
General-0-20200620-21:14:22-20653,0,exercise_7.Users[65].pppg$o[0].channel,throughput:stats,29927,,1294.4958723785,190.80363746749,440,2420.3734414295
General-0-20200620-21:14:22-20653,0,exercise_7.Users[66].pppg$o[0].channel,throughput:stats,34274,,1327.5296979317,193.1784586877,440,2563.4551791142
General-0-20200620-21:14:22-20653,0,exercise_7.Users[67].pppg$o[0].channel,throughput:stats,32136,,1248.8075185662,96.595594474806,440,2419.4505802089
General-0-20200620-21:14:22-20653,0,exercise_7.Users[68].pppg$o[0].channel,throughput:stats,33243,,1420.1709181961,146.9655310995,391.69594584516,2418.9894134557
General-0-20200620-21:14:22-20653,0,exercise_7.Users[69].pppg$o[0].channel,throughput:stats,34195,,1382.2982960129,137.12067672697,440,2418.5284224733
General-0-20200620-21:14:22-20653,0,exercise_7.Users[70].pppg$o[0].channel,throughput:stats,32068,,1343.051607575,71.154818128232,363.37955070084,2418.067607161
General-0-20200620-21:14:22-20653,0,exercise_7.Users[71].pppg$o[0].channel,throughput:stats,33963,,1308.8202830857,154.07714654307,193.90054114703,2417.6069674186
General-0-20200620-21:14:22-20653,0,exercise_7.Users[72].pppg$o[0].channel,throughput:stats,31217,,1319.9430348391,226.60102937764,440,2620.9996809662
General-0-20200620-21:14:22-20653,0,exercise_7.Users[73].pppg$o[0].channel,throughput:stats,30220,,1272.4375107561,242.97148098977,440,2561.4756858954
General-0-20200620-21:14:22-20653,0,exercise_7.Users[74].pppg$o[0].channel,throughput:stats,33769,,1524.1069862532,214.09111319145,440,2650.8856579327
General-0-20200620-21:14:22-20653,0,exercise_7.Users[75].pppg$o[0].channel,throughput:stats,31830,,1287.7104237328,119.88759483509,356.75192264657,2498.6488533444
General-0-20200620-21:14:22-20653,0,exercise_7.Users[76].pppg$o[0].channel,throughput:stats,29359,,1342.0993721981,328.81978239934,440,2817.7738274011
General-0-20200620-21:14:22-20653,0,exercise_7.Users[77].pppg$o[0].channel,throughput:stats,25434,,1002.0444583691,306.69798174203,440,2717.5728955516
General-0-20200620-21:14:22-20653,0,exercise_7.Users[78].pppg$o[0].channel,throughput:stats,31726,,1368.9663267656,315.03102354983,440,2827.908875397
General-0-20200620-21:14:22-20653,0,exercise_7.Users[79].pppg$o[0].channel,throughput:stats,34270,,1363.1099018998,121.55143586758,440,2798.0016556341
General-0-20200620-21:14:22-20653,0,exercise_7.Users[80].pppg$o[0].channel,throughput:stats,34144,,1380.6936811195,193.32538788694,440,2776.7804784505
General-0-20200620-21:14:22-20653,0,exercise_7.Users[81].pppg$o[0].channel,throughput:stats,31041,,1165.5413034874,101.05856608893,438.75886878744,2424.4424086384
General-0-20200620-21:14:22-20653,0,exercise_7.Users[82].pppg$o[0].channel,throughput:stats,31499,,1252.9619762408,111.50583788869,425.14221855721,2423.9793371389
General-0-20200620-21:14:22-20653,0,exercise_7.Users[83].pppg$o[0].channel,throughput:stats,30581,,1190.0609148541,125.00940276709,440,2555.5507711017
General-0-20200620-21:14:22-20653,0,exercise_7.Users[84].pppg$o[0].channel,throughput:stats,33879,,1233.6369471755,183.76793815399,440,2611.055962886
